transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Marcon Place, London, E8 1LP, UK",2,2,,3230,745,"Show up and start living from day one in London with this beautiful two-bedroom Blueground apartment. You’ll love coming home to this thoughtfully furnished, beautifully designed, and fully-equipped Hackney home.",Apartment,UK,"BLUEGROUND FURNISHED APARTMENTS UK LTD, London",rightmove,https://www.rightmove.co.uk/properties/131812769#/?channel=RES_LET,2023-05-20
rent,"Powis Gardens, London, NW11",,1,,1200,277,Property Reference Number: 100684. This first floor flat comprises a separate kitchen and shower room. Perfectly located close to transport links and various other amenities. All bills are included.,Apartment,NW11,"PropertyLoop, London",rightmove,https://www.rightmove.co.uk/properties/135065702#/?channel=RES_LET,2023-05-20
rent,"Fitzjohn's Avenue, Hampstead, NW3",3,3,,8498,1961,"Forming part of this magnificent development, a stunning 3 Bedroom duplex apartment, set over the raised ground and garden level of this beautiful Victorian villa, with the benefit of a substantial 70ft private garden. Located on the lower slopes of Fitzjohn's Avenue, the property is ide...",Flat,NW3,"TK International, Hampstead",rightmove,https://www.rightmove.co.uk/properties/135065699#/?channel=RES_LET,2023-05-20
rent,"Loddiges Road, Hackney, London, E9 6PR",3,1,,2817,650,Bryan Estates are pleased to present this spacious split level three bedroom flat with balcony located just off Mare Street in the heart of Hackney E9. Located on the 2nd floor of a purpose...,Maisonette,6PR,"Bryan Estates, London",rightmove,https://www.rightmove.co.uk/properties/135065648#/?channel=RES_LET,2023-05-20
rent,"Chelmsford House, London, N7",1,1,,1700,392,"One bed flat (400 square feet) with separate kitchen, living room and bathroom on Holloway Road. Located on third floor with lift access. Newly updated windows. Lots of light and well insulated. C... ** Property Reference: 1636088 **",Flat,N7,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064694#/?channel=RES_LET,2023-05-20
rent,"Nevern Place, Earl`s Court, SW5",2,1,,2578,595,"A lovely, recently decorated first floor, 2 bed flat near Earl`s Court station.",Flat,SW5,"Hogarth Estates, London",rightmove,https://www.rightmove.co.uk/properties/135064604#/?channel=RES_LET,2023-05-20
rent,"Seafarer Way, Marine Wharf, Surrey Quays SE16",3,2,,3000,692,"A luxurious and newly redecorated penthouse apartment with three double bedrooms, two bathrooms, a balcony, plenty of hallway storage and fantastic views looking across the marina towards Canary Wharf. Set within the Marine Wharf development which includes 24-hour concierge service and gym. Parki...",Apartment,SE16,"Urban Patchwork, London",rightmove,https://www.rightmove.co.uk/properties/135064580#/?channel=RES_LET,2023-05-20
rent,"Nightingale Road, N22, Wood Green, London, N22",1,1,,1600,369,ZERO DEPOSIT AVAILABLE. LONG LET. Set on the top floor of a purpose-built block this impressively sized one bedroom apartment offers a superb living space with large bright reception room and great sized separate kitchen.,Flat,N22,"Foxtons, Wood Green",rightmove,https://www.rightmove.co.uk/properties/135064538#/?channel=RES_LET,2023-05-20
rent,"Woolwich Road, London, SE2",3,1,,2100,485,"3 Bed Semi-Detached House, Woolwich Road, SE2 We are proud to offer this delightful 3 bedroom, 1 bathroom semi-detached house in a great location. Available to move in from 26 May 2023, this pro... ** Property Reference: 1711932 **",Semi-Detached,SE2,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064496#/?channel=RES_LET,2023-05-20
rent,"Allen Road, London, N16",2,1,,2300,531,"We are proud to offer this delightful 2 bedroom, 1 bathroom flat in a great location. Available to move in from 16 June 2023, this property benefits from garden access. Property is offered unfurn... ** Property Reference: 1711662 **",Flat,N16,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064475#/?channel=RES_LET,2023-05-20
rent,"Maida Vale, Maida Vale, London, NW6",3,2,,4984,1150,"LONG LET. This is a lovely mews house spread over an impressive five floors, with quality interiors to match. The property boasts a large eat-in kitchen, beautiful reception room and a patio to enjoy summer evenings outdoors.",Terraced,NW6,"Foxtons, Maida Vale",rightmove,https://www.rightmove.co.uk/properties/135064472#/?channel=RES_LET,2023-05-20
rent,"Belvedere Road, South Bank, London, SE1",1,1,,1950,450,"ZERO DEPOSIT AVAILABLE. LONG LET. Situated just moments from the London Eye on the trendy South Bank, this bright and modern one bedroom apartment offers a great living space with spacious rooms throughout.",Flat,SE1,"Foxtons, London Bridge",rightmove,https://www.rightmove.co.uk/properties/135064460#/?channel=RES_LET,2023-05-20
rent,"Woodstock Terrace, London, E14",1,1,,1675,387,"Forming part of the lower ground floor of this impressive four-storey residence, is this cleverly converted apartment. Sympathetically decorated throughout boasting an integrated kitchen and offered furnished, this generous studio offers a professional tenant/couple an ideal chance to live within...",Flat,E14,"Keatons, Bow",rightmove,https://www.rightmove.co.uk/properties/135064457#/?channel=RES_LET,2023-05-20
rent,"Gardenia Road, Enfield, EN1",3,2,,2495,576,3 / 4-bedroomterraced house available for rent. Under 10 minutes’ walk to Bush HillOverground Station and 5 minutes / within catchment of Raglan School which isOfsted Good. The house had a full re... ** Property Reference: 1705160 **,Terraced,EN1,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134774393#/?channel=RES_LET,2023-05-20
rent,"Vanguard Building, Canary Wharf, London, E14",1,1,,2275,525,"LONG LET. Boasting sensational views over the river and towards the City, this contemporary 1 bedroom flat is well located in a prestigious Gated development with communal Gymnasium, Concierge and covered off-street Parking.",Flat,E14,"Foxtons, Canary Wharf",rightmove,https://www.rightmove.co.uk/properties/132821552#/?channel=RES_LET,2023-05-20
rent,"Sloane Avenue, Chelsea, SW3",,1,,1500,346,"Studio apartment located in the popular Chelsea Cloisters building on Sloane Avenue featuring a 24 hour concierge. Amenities are right on your door step with Bart's and Gaucho located in the same building. Local amenities include a whole host of bars, restaurants and shops just minutes away. Avai...",Apartment,SW3,"Vesper Homes, London",rightmove,https://www.rightmove.co.uk/properties/134927642#/?channel=RES_LET,2023-05-20
rent,"Vicarage Gate, London",1,1,,2816,650,"Overall, this stylish one bedroom flat provides bright and spacious accommodation, lift access, and a sought-after location in the heart of Kensington. The property is beautifully presented throughout, providing a stylish and modern living space. The flat features an excellent reception ...",Flat,London,"Noahs London, London",rightmove,https://www.rightmove.co.uk/properties/134415185#/?channel=RES_LET,2023-05-20
rent,"St. Johns Wood Court, St Johns Wood, NW8",3,1,,4250,981,"We are delighted to offer a wonderful apartment in this extremely popular and beautifully appointed portered Purpose Built Block (with lift) moments from Lords Cricket Ground and Regents Park in the heart of St Johns Wood, one of London's premier neighbourhoods. The apartment, located o...",Apartment,NW8,"Greenstone Residential, St. Johns Wood",rightmove,https://www.rightmove.co.uk/properties/135064235#/?channel=RES_LET,2023-05-20
rent,Bedford Road Clapham Common SW4,4,2,,3750,865,"PAY LESS UPFRONT WITH ZERO DEPOSIT. A well presented four double bedroom, two bathroom house with an eat in kitchen situated on the Clapham Brixton borders with private garden.",House,SW4,"Kinleigh Folkard & Hayward - Lettings, Clapham Common",rightmove,https://www.rightmove.co.uk/properties/135064229#/?channel=RES_LET,2023-05-20
rent,North Street London SW4,2,1,,2250,519,"A lovely two double bedroom garden flat in a charming period conversion situated in the heart of Clapham Old Town, a short distance to Clapham Common tube station.",Flat,SW4,"Kinleigh Folkard & Hayward - Lettings, Clapham Common",rightmove,https://www.rightmove.co.uk/properties/135064223#/?channel=RES_LET,2023-05-20
rent,"Woodlands Park Road, London, N15",4,2,,2400,554,"The AreaA four-bedroom, 2 bathroom Victorian terraced half house split over three floors including loft conversion and private south-facing garden available late July 2023.The property is located... ** Property Reference: 1688081 **",Terraced,N15,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064190#/?channel=RES_LET,2023-05-20
rent,"Penywern Road, London, SW5",1,1,,2199,507,"A beautifully presented, one double bedroom, second floor flat, superbly located within a few yards of Earls Court Road with its vast array of shops, restaurants and Earls Court tube station. This... ** Property Reference: 1392216 **",Flat,SW5,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064187#/?channel=RES_LET,2023-05-20
rent,"The Renovation, London, E16",2,2,,2900,669,"Formally converted Victorian pump house with lots of character, light, and space, within a secure gated community, the property is unique to this area, spread out over 3 floors with a total floor... ** Property Reference: 441376 **",Flat,E16,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064157#/?channel=RES_LET,2023-05-20
rent,"Napier Road, London, NW10",5,3,,4200,969,"5 Bed Semi-Detached House, Napier Road, NW10 We are proud to offer this delightful 5 bedroom, 3 bathroom semi-detached house in a great location. Available to move in from 18 June 2023, this pro... ** Property Reference: 1703855 **",Semi-Detached,NW10,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064154#/?channel=RES_LET,2023-05-20
rent,"Spur House, London, SW19",2,1,,2200,508,"Spacious and modern 2 double bedroom flat available for rent. The property is opposite south Wimbledon underground station (northern line), and is a short walk to Wimbledon town centre. The flat... ** Property Reference: 1711775 **",Flat,SW19,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135064151#/?channel=RES_LET,2023-05-20
rent,"Belvedere Heights, 199 Lisson Grove, NW8",2,2,,2750,635,"A modern, spacious apartment situated in a portered building with parking space and a gym.",Flat,NW8,"Chestertons Estate Agents, St. John's Wood Lettings",rightmove,https://www.rightmove.co.uk/properties/133192775#/?channel=RES_LET,19/04/2023
rent,"Chronicle Tower, London, EC1V",1,1,,2800,646,"A stylish fully furnished one bedroom flat located on the 28th floor of the iconic Chronicle Tower overlooking the divine Regent canal. The development benefits from full time concierge, fully equ... ** Property Reference: 1642733 **",Flat,EC1V,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134781437#/?channel=RES_LET,2023-05-20
rent,"Dundee Court, Wapping Lane, Wapping E1W",2,2,,3467,800,"A two bedroom, two bathroom apartment set within Dundee Court. Comprises a spacious living area, fitted kitchen, two good sized bedrooms, modern bathroom suites, balcony.",Duplex,E1W,"Chase Evans, City & Aldgate",rightmove,https://www.rightmove.co.uk/properties/135064091#/?channel=RES_LET,2023-05-20
rent,"Angelis Apartments,Graham Street, Islington N1",2,2,,3250,750,"A spacious two bedroom apartment with parking set in a sought after canalside development nearby City Road Basin, Islington. The open plan living comprises a kitchen/ living room, master bedroom with an en-suite shower, a further double bedroom and a family bathroom. Concierge, gym, cinema, roof...",Apartment,N1,"Chase Evans, City & Aldgate",rightmove,https://www.rightmove.co.uk/properties/135064085#/?channel=RES_LET,2023-05-20
rent,"Roman House, Wood Street, St Pauls EC2Y",1,1,,2817,650,"A one bedroom, one bathroom apartment set within Roman House, a modern Berkeley Group development ideally located for access to transport links and amenities. This contemporary designed apartment includes an inviting living and dining space, fitted kitchen with integrated appliances, wood floorin...",Apartment,EC2Y,"Chase Evans, City & Aldgate",rightmove,https://www.rightmove.co.uk/properties/135064082#/?channel=RES_LET,2023-05-20
