transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
rent,"Ascham End, London, E17",2,1,,1335,308,"Modernised trendy apartment for 1-2 occupants This trendy apartment is is over 530 ft2 (50 m2) and has access to a garden, private parking and wifi. 1-2 occupants can apply for it, not more and i... ** Property Reference: 1689405 **",Flat,E17,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134098310#/?channel=RES_LET,2023-05-19
rent,"York Road, London, E10",5,2,,4000,923,"We are proud to offer this delightful 5 bedroom, 2 bathroom terraced house in a great location. Available to move in from 19 May 2023. Property is offered furnished. Viewing highly recommended.... ** Property Reference: 1683489 **",Terraced,E10,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/133806272#/?channel=RES_LET,2023-05-19
rent,"Camberwell New Road, London, SE5",2,1,,2300,531,"A well presented two double bedroom split level Victorian conversion flat with a private rear garden, stunning kitchen and four piece bathroom suite, close to Camberwell Green.- 13 foot reception... ** Property Reference: 1678722 **",Terraced,SE5,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/134771735#/?channel=RES_LET,2023-05-19
rent,"North Gate, Prince Albert Road, St John's Wood, London, NW8",3,2,,8667,2000,"A unique interior designed 3 bedroom (approx. 1,474 sq.ft./136.9 sq.m.) on the 3rd floor of this prestige portered block located directly opposite Regent's Park. The flat is of spacious proportions and enjoys high ceilings and excellent views. North Gate is a highly sought after red brick E...",Flat,NW8,"Behr and Butchoff, St John's Wood",rightmove,https://www.rightmove.co.uk/properties/132301082#/?channel=RES_LET,2023-05-19
rent,"Deals Gateway, Lewisham, SE13",1,1,,1480,342,"A modern fifth floor apartment situated within the ever popular and convenient 'OneSE8' development, popular for it's close proximity to Deptford Bridge DLR station and local supermarkets within a few minutes walk away.",Apartment,SE13,"Conran Estates, Greenwich",rightmove,https://www.rightmove.co.uk/properties/134014769#/?channel=RES_LET,2023-05-19
rent,"Avignon Road, Brockley, SE4",2,1,,2000,462,Period Conversion garden flat suitated on the ground floor. Two double bedrooms and a large open-plan kitchen and living space with direct access to a large garden. The property benefits from original features such as high ceilings and a fireplace.,Apartment,SE4,"Conran Estates, Brockley",rightmove,https://www.rightmove.co.uk/properties/134587043#/?channel=RES_LET,2023-05-19
rent,"Marloes Road, Kensington, London, W8",,1,,1408,325,"Situated in the heart of Kensington, this delightful studio apartment is situated on the second floor of this imposing stucco fronted period building.",Apartment,W8,"Druce, Kensington",rightmove,https://www.rightmove.co.uk/properties/135043538#/?channel=RES_LET,2023-05-19
rent,"Bushey Down, London, SW12",3,2,,3250,750,"Spacious, recently decorated three bedroom house in Balham with a new kitchen and appliances. Perfect for sharers as it has three similar bedrooms, the third of which has its own en suite shower.... ** Property Reference: 1709792 **",Terraced,SW12,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/135043361#/?channel=RES_LET,2023-05-19
sales,"Felden Street, London, SW6 5AE",4,3,2499950,,,"A beautiful family home situated on a highly sought after residential street close to Fulham Road. This wonderful property has four double bedrooms, ample entertaining space and a lovely garden to the rear.",Terraced,5AE,"Maison, Covering Kent / Surrey",rightmove,https://www.rightmove.co.uk/properties/132447401#/?channel=RES_BUY,22/03/2023
sales,"One Hyde Park, Knightsbridge",5,5,60000000,,,"An exceptional exclusive five bedroom apartment for sale in this much sought after development in Knightsbridge. The entire floor is approximately 9,000 sq. ft. and designed to the highest specifications with stunning views over Knightsbridge and Hyde park.",Apartment,Knightsbridge,"The Cloister, London",rightmove,https://www.rightmove.co.uk/properties/130177625#/?channel=RES_BUY,22/12/2022
